key,0
27,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>乙太契約<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>異想量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前小仙女的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>異想乙太<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值。在自身處於戰鬥狀態且小仙女處於同行狀態時，使用消耗乙太超流的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>生命活性法<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>深謀遠慮之策<UIGlow>01</UIGlow><UIForeground>01</UIForeground>等技能可以增加異想乙太量值，積累的異想乙太量值可以用來發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>乙太契約<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
28,"異想量譜"
29,"學會並使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>熾天召喚<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，可以暫時召喚出<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>熾天使<UIGlow>01</UIGlow><UIForeground>01</UIForeground>替代朝日小仙女和夕月小仙女。
異想量譜會顯示熾天使的剩餘存在時間。"
30,"奧秘量譜"
31,"發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>抽卡<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>奧秘量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前抽出的卡片。使用抽出的卡片可以獲得各種各樣的效果，同時卡片效果會臨時取代<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>出卡<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
32,"奧秘量譜/星標"
33,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>抽卡效果提高II<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>星標<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
在戰鬥狀態下使用卡片技能，可以附加<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>日<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>月<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>星<UIGlow>01</UIGlow><UIForeground>01</UIForeground>三種標識中的一種。當標識附加到三個時，即可消耗標識發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>星力<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
34,"疾風迅雷量譜"
35,"發動特定的戰技時可以觸發<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>疾風迅雷<UIGlow>01</UIGlow><UIForeground>01</UIForeground>狀態。
學會能夠觸發該狀態的技能後，畫面上會出現<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>疾風迅雷量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前疾風迅雷狀態的剩餘持續時間和量值。隨著等級提升，量值在<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>紅蓮體勢<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>金剛體勢<UIGlow>01</UIGlow><UIForeground>01</UIForeground>下最多可以積累到三檔，在<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>疾風體勢<UIGlow>01</UIGlow><UIForeground>01</UIForeground>下最多可以積累到四檔，疾風迅雷狀態能夠提升攻擊速度與攻擊所造成的傷害，積累的量值越多，提升的幅度越大。"
36,"鬥氣量譜"
37,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>鬥氣<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>鬥氣量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>鬥氣<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值。
鬥氣量值累計到最大後，可以發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>鐵山靠<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和40級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>空鳴拳<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
38,"疾風迅雷量譜"
39,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>無我<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，可以將<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>疾風迅雷<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的持續時間暫時停止。
疾風迅雷持續時間停止時，表示時間的數值會不斷閃爍。戰鬥狀態下使用無我，會在無我持續生效的期間，一檔一檔連續附加疾風迅雷狀態，直至最大檔數。"
40,"龍血量譜"
41,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>紅蓮龍血<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，畫面上會出現用於表示<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>巨龍怒目<UIGlow>01</UIGlow><UIForeground>01</UIForeground>賦予狀態的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍血量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
每次使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>幻象衝<UIGlow>01</UIGlow><UIForeground>01</UIForeground>都可以賦予一檔<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>巨龍怒目<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
當巨龍怒目積攢到最大的二檔時使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>武神槍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>會自動發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>紅蓮龍血<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
紅蓮龍血狀態下可以使用強力的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>死者之岸<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和80級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>墜星衝<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
42,"龍血量譜"
43,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>長槍精通IV<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，在每次使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍眼雷電<UIGlow>01</UIGlow><UIForeground>01</UIForeground>以及<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>龍眼蒼穹<UIGlow>01</UIGlow><UIForeground>01</UIForeground>時都會賦予一檔<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>天龍眼<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
當天龍眼積攢到最大檔數時，可以發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>天龍點睛<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
44,""
45,"風遁量譜"
46,"學會三種結印手勢後即可發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>風遁之術<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
發動之後畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>風遁量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示風遁之術的剩餘持續時間。"
47,"忍氣量譜"
48,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>集氣法<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忍氣量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忍氣<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值的積累狀況。忍氣可以通過使用戰技來進行積累，積累的忍氣可以用來發動62級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>通靈之術·大蛤蟆<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和68級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>六道輪迴<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
49,"雪月花量譜"
50,"武士的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>雪月花量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>可以顯示當前<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>雪之閃<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>月之閃<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>花之閃<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的觸發狀況。
這三種<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>閃<UIGlow>01</UIGlow><UIForeground>01</UIForeground>可以通過發動特定的連擊來觸發，根據閃的觸發狀況不同，<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>居合術<UIGlow>01</UIGlow><UIForeground>01</UIForeground>將變為<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>彼岸花<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>天下五劍<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>紛亂雪月花<UIGlow>01</UIGlow><UIForeground>01</UIForeground>這三個不同的技能。"
51,"劍氣量譜"
52,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>劍氣精通<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>劍氣量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>劍氣<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值的積累狀況。
劍氣量值可以通過發動戰技或心眼成功時來進行積累。通過消耗積累的劍氣量值可用來發動52級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>必殺劍·震天<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、54級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>必殺劍·曉天<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、70級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>必殺劍·紅蓮<UIGlow>01</UIGlow><UIForeground>01</UIForeground>等與必殺劍相關的技能。"
53,"戰歌量譜"
54,"發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>賢者的敘事謠<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>戰歌量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前戰歌的剩餘持續時間。
在戰歌效果中，有一定機率觸發<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>詩心<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，
以縮短<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>失血箭<UIGlow>01</UIGlow><UIForeground>01</UIForeground>與45級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>死亡箭雨<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的複唱時間。"
55,"當<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>毒咬箭（烈毒咬箭）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>風蝕箭（狂風蝕箭）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的持續傷害命中時，詩心效果有一定機率會被觸發。在戰歌中觸發詩心可以大幅提高詩人的攻擊力。"
56,"發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>軍神的讚美歌<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>戰歌量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前戰歌的剩餘持續時間。
在戰歌效果中，有一定機率觸發<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>詩心<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，詩心量值由戰歌量譜下方的音符標識表示，最多可以積累到四檔。詩心能夠提升攻擊速度，積累的量值越多，提升的幅度越大。"
57,"發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>放浪神的小步舞曲<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>戰歌量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前戰歌的剩餘持續時間。
在戰歌效果中，有一定機率觸發<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>詩心<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，詩心量值由戰歌量譜下方的箭頭標識表示，最多可以積累到三檔。消耗詩心可以發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>完美音調<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
58,"靈魂之聲量譜"
59,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈魂之聲<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈魂之聲量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>，以顯示當前<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈魂之聲<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的具體量值。
觸發詩心可以增加靈魂之聲量值，消耗積累的靈魂之聲量值可以發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>絕峰箭<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
60,"機工量譜"
61,"畫面上出現的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>槍管熱度量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>可以顯示槍管的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>熱度<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值積累狀況，使用特定的戰技會導致槍管的熱度上升。
熱度量值積累到一定程度之後使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>超荷<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能，會進入過熱狀態。
35級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>熱衝擊<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和52級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>自動弩<UIGlow>01</UIGlow><UIForeground>01</UIForeground>需要在過熱狀態下才可以發動。"
62,"機工量譜"
63,"學會<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>車式浮空砲塔<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，畫面上會出現專用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>電能量譜<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
使用特定技能可以積累<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>電能<UIGlow>01</UIGlow><UIForeground>01</UIForeground>的量值。發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>車式浮空砲塔<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能後，可以設定<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>砲塔<UIGlow>01</UIGlow><UIForeground>01</UIForeground>配合自己攻擊敵人。消耗電能發動80級學會的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>后式自走人偶<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能，可以召喚出<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>后式自走人偶<UIGlow>01</UIGlow><UIForeground>01</UIForeground>與自己共同作戰。"
64,"元素量譜"
65,"使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>火屬性<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法後會進入<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>星極火<UIGlow>01</UIGlow><UIForeground>01</UIForeground>狀態，
此時火屬性魔法威力會有所提升，不過消耗魔力也會增加。
使用<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>冰屬性<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法後會進入<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈極冰<UIGlow>01</UIGlow><UIForeground>01</UIForeground>狀態，
此時魔力的自然恢復速度會大幅提升。
當處於<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>星極火<UIGlow>01</UIGlow><UIForeground>01</UIForeground>或<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈極冰<UIGlow>01</UIGlow><UIForeground>01</UIForeground>狀態時，
詠唱相反屬性魔法將不消耗魔力。"
66,"在星極火或靈極冰狀態下將會發動<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>天語<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性，發動後在元素量譜的右下側將顯示天語的賦予狀況。
在天語效果中，攻擊魔法造成的傷害會有所提升，
星極火或靈極冰的狀態消失時，天語也會一同消失。"
67,"詠唱<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>玄冰<UIGlow>01</UIGlow><UIForeground>01</UIForeground>或<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>冰澈<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法後，元素量譜的左下側會出現顯示<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>靈極心<UIGlow>01</UIGlow><UIForeground>01</UIForeground>量值的標識。消耗靈極心能夠抵消星極火效果中<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>火系<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法增加的魔力消耗。在星極火狀態下，每發動一次火系魔法都會自動消耗一檔靈極心。"
68,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>天語<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性發動後，每經過30秒可以附加一次<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>通曉<UIGlow>01</UIGlow><UIForeground>01</UIForeground>狀態，隨之點亮量譜下方的水晶。元素量譜右下側的計時指針代表著發動天語後經過的時間，指針每次從頭走到尾需要30秒。"
