key,0,1,2,3,4,5,6,7,8,9,10,11
28,3,1,2,0,0,"/nameplatedisp","","/名牌顯示 對象 設定代號/nameplatedisp
進行玩家名牌顯示設定。
>>對象
全部(all)
所有玩家為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>自己<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(self)
自身為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>小隊<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(party)
小隊成員為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>團隊<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(alliance)
團隊成員為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>他人<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(other)
其他人為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>好友<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(friend)
好友為對象
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>水晶衝突<UIGlow>01</UIGlow><UIForeground>01</UIForeground>(feast)
水晶衝突中的敵人為對象

>>設定代號1-4
1:一直顯示
2:戰鬥時顯示
3:選為目標時顯示
4:不顯示

>>示例
/名牌顯示 全部 4
將所有玩家的名牌顯示設定改為不顯示。","","",36,0
29,2,1,20,0,0,"/fashion","","/時尚配飾 時尚配飾名
/fashion
使用指定的時尚配飾。

>>示例
/時尚配飾 陽傘
使用時尚配飾「陽傘」。","","",36,0
30,1,0,0,0,0,"/fashionguide","","/時尚配飾一覽
/fashionlist、/fashionguide
打開時尚配飾選單。","/fashionlist","",32,0
31,1,0,0,0,0,"/officialsite","/site","/官方網站
/officialsite、/site
打開官方網站選單。","","",32,0
32,1,0,0,0,0,"//setGearset","","//setGearset
リアルイベント用コマンド。
アーマリーチェスト內のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。","","",32,0
33,3,2,7,15,0,"/petmirage","","/召喚獸投影 召喚獸的名字 外貌
/petmirage、/egimirage
可以改變接下來召喚的召喚獸外貌。
但在對戰任務中無效。
>>召喚獸的名字
寶石獸
迦樓羅之靈
泰坦之靈
伊弗利特之靈
>>外貌
寶石獸
綠寶石獸
黃寶石獸
紅寶石獸
伊弗利特之靈
泰坦之靈
迦樓羅之靈
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>省略外貌或在外貌處輸入「撤除(clear)」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
召喚獸會恢復原狀。
>>示例
/召喚獸投影 迦樓羅之靈 紅寶石獸
將迦樓羅之靈的外貌變成紅寶石獸。","/petmirage","",36,0
34,3,2,7,2,0,"/petsize","","/召喚獸尺寸 召喚獸的名字 尺寸
/petsize
變更特定召喚獸的尺寸。
本設定在對戰區域內無效。
另外，本設定只對自身生效，無法改變他人的召喚獸尺寸。

>>召喚獸的名字
亞靈神巴哈姆特
亞靈神不死鳥
紅寶石伊弗利特
黃寶石泰坦
綠寶石迦樓羅
全部

>>尺寸
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>大<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　將召喚獸的顯示尺寸變為「大」。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>中<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　將召喚獸的顯示尺寸變為「中」。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>小<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　將召喚獸的顯示尺寸變為「小」。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　按「小→中→大」的順序切換設定。當尺寸目標為全部時，返回錯誤。
>>示例
/召喚獸尺寸 亞靈神巴哈姆特 中
　將亞靈神巴哈姆特的尺寸變為「中」。
/召喚獸尺寸 全部 小
　所有召喚獸的顯示尺寸全部變為「小」。","","",36,0
35,3,0,0,0,0,"/ridepillion","","/共同騎乘 隊員編號 座位編號
/ridepillion
搭乘所選隊員的坐騎。

>>座位編號（1-7）
坐在指定座位編號的位置上。如果指定的座位已經填滿，則會自動選擇空著的座位。如果省略子命令，則會嘗試坐在座位編號1的位置。

>>示例
/共同騎乘 <2> 1
搭乘小隊內編號為2的隊員的坐騎，並坐在座位編號為1的位置。","","",36,0
36,1,0,0,0,0,"/patchnote","","/版本更新筆記
/patchnote
打開官方網站中的版本更新筆記頁面。
此時將啟動瀏覽器。","","",32,1000
37,1,0,0,0,0,"/portrait","","/肖像
/portrait
打開肖像編輯選單。","","",32,0
38,1,0,0,0,0,"/adventurerplate","/myplate","/冒險者銘牌
/adventurerplate(/myplate)
打開自己的冒險者銘牌。","","",32,0
39,2,1,2,0,0,"/rclickpc","","/右鍵不可選中玩家 子命令
/rclickpc 
設定右鍵不可選中玩家角色作為目標。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>開(on)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　啟用右鍵不可選中玩家設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>關(off)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　關閉右鍵不可選中玩家設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　在開啟與關閉之間切換。","","",36,0
40,2,1,2,0,0,"/rclickbattlenpc","","/右鍵不可選中非玩家角色 子命令
/rclickbattlenpc 
設定右鍵不可選中敵方或我方非玩家角色作為目標。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>開(on)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　啟用右鍵不可選中非玩家設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>關(off)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　關閉右鍵不可選中非玩家設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　在開啟與關閉之間切換。","","",36,0
41,2,1,2,0,0,"/rclickminion","","/右鍵不可選中寵物 子命令
/rclickminion 
設定右鍵不可選中寵物作為目標。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>開(on)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　啟用右鍵不可選中寵物設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>關(off)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　關閉右鍵不可選中寵物設定。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　在開啟與關閉之間切換。","","",36,0
91,1,0,0,0,0,"/pvpteam","/pt","/戰隊頻道(/戰) 發言內容
/pvpteam、/pt
向同一戰隊內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/戰隊頻道(/戰)」可將預設聊天頻道變更為戰隊頻道。
>>示例

/戰 我來啦！
在戰隊頻道中發送消息「我來啦！」。
/戰
將預設聊天頻道變更為戰隊頻道。","","",1021,0
92,1,0,0,0,0,"/cwlinkshell","/cwl","/跨服貝頻道(/跨) 發言內容
/cwlinkshell、/cwl
向常用跨服通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨服貝頻道(/跨)」可將預設聊天頻道變更為常用跨服通訊貝頻道。
>>示例

/跨 大家好！
在常用跨服通訊貝頻道中發送消息「大家好！」。
/跨
將預設聊天頻道變更為常用跨服通訊貝頻道。","","",1021,0
101,1,0,0,0,0,"/beginner","/b","/新人頻道(/新) 發言內容
/beginner、/b
向參加新人頻道的所有玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/新人頻道(/新)」可將預設聊天頻道變更為新人頻道。
>>示例
/新人頻道 你好。
在新人頻道發送「你好。」的聊天消息。
/新人頻道
將預設聊天頻道變更為新人頻道。","","",1021,0
102,1,0,0,0,0,"/say","/s","/說話頻道(/說) 發言內容
/say、/s
讓身邊小範圍內的玩家看到自己的發言。
只輸入「/說話頻道(/說)」可將預設聊天頻道變更為說話頻道。","","",1023,0
103,1,0,0,0,0,"/shout","/sh","/喊話頻道(/喊) 發言內容
/shout、/sh
讓當前所在區域的所有玩家看到自己的發言。","","",1021,0
104,3,0,0,0,0,"/tell","/t","/悄悄話頻道(/悄) 玩家名@伺服器名 發言內容
/tell、/t
向和自己屬於同一伺服器的指定玩家發送聊天消息。
跨伺服器發送時只能對好友或正在募集隊員的隊長生效。
只輸入「/悄悄話頻道(/悄) 玩家名@伺服器名」可將預設聊天頻道變更為對該玩家的悄悄話頻道。
>>示例
/悄 阿魯瑪@萌芽池 你好。
對萌芽池伺服器的阿魯瑪發送「你好。」的聊天消息。","","",1021,0
105,1,0,0,0,0,"/party","/p","/小隊頻道(/隊) 發言內容
/party、/p
向同一小隊內的全體成員發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/小隊頻道(/隊)」可將預設聊天頻道變更為小隊頻道。","","",1021,0
106,1,0,0,0,0,"/linkshell","/l","/通訊貝頻道(/訊) 發言內容
/linkshell、/l
向常用通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/通訊貝頻道(/訊)」可將預設聊天頻道變更為常用通訊貝頻道。","","",1021,0
107,1,0,0,0,0,"/linkshell1","/l1","/通訊貝頻道1(/訊1) 發言內容
/linkshell1、/l1
向１號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
108,1,0,0,0,0,"/linkshell2","/l2","/通訊貝頻道2(/訊2) 發言內容
/linkshell2、/l2
向２號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
109,1,0,0,0,0,"/linkshell3","/l3","/通訊貝頻道3(/訊3) 發言內容
/linkshell3、/l3
向３號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
110,1,0,0,0,0,"/linkshell4","/l4","/通訊貝頻道4(/訊4) 發言內容
/linkshell4、/l4
向４號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
111,1,0,0,0,0,"/linkshell5","/l5","/通訊貝頻道5(/訊5) 發言內容
/linkshell5、/l5
向５號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
112,1,0,0,0,0,"/linkshell6","/l6","/通訊貝頻道6(/訊6) 發言內容
/linkshell6、/l6
向６號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
113,1,0,0,0,0,"/linkshell7","/l7","/通訊貝頻道7(/訊7) 發言內容
/linkshell7、/l7
向７號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
114,1,0,0,0,0,"/linkshell8","/l8","/通訊貝頻道8(/訊8) 發言內容
/linkshell8、/l8
向８號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。","","",1021,0
115,1,0,0,0,0,"/freecompany","/fc","/部隊頻道(/部) 發言內容
/freecompany、/fc
向同一部隊內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/部隊頻道(/部)」可將預設聊天頻道變更為部隊頻道。","","",1021,0
116,1,0,0,0,0,"/echo","/e","/默語(/默) 發言內容
/echo、/e
顯示只有自己能看到的發言內容。","","",1021,0
117,1,0,0,0,0,"/yell","/y","/呼喊頻道(/呼) 發言內容
/yell、/y
讓身邊大範圍內的玩家看到自己的發言。
只輸入「/呼喊頻道(/呼)」可將預設聊天頻道變更為呼喊頻道。","","",1021,0
118,1,0,0,0,0,"/reply","/r","/回答(/回) 發言內容
/reply、/r
向最後一次收到悄悄話的玩家發送聊天消息。","","",1021,0
119,1,0,0,0,0,"/alliance","/a","/團隊頻道(/團) 發言內容
/alliance、/a
向同一團隊的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/團隊頻道(/團)」可將預設聊天頻道變更為團隊頻道。","","",1021,0
121,1,0,0,0,0,"/join","","/參加
/join
接受組隊邀請。","","",4,0
122,1,0,0,0,0,"/decline","","/拒絕
/decline
拒絕組隊邀請。","","",4,0
123,2,0,0,0,0,"/invite","","/邀請 代名詞
/invite
邀請指定玩家加入小隊。省略代名詞可以把當前所選中的玩家作為對象。","","",4,0
124,2,0,0,0,0,"/kick","","/移除 代名詞
/kick
將指定玩家移除小隊。省略代名詞可以把當前所選中的玩家作為對象。","","",4,0
125,2,0,0,0,0,"/leader","","/隊長 代名詞
/leader
將隊長轉讓給指定玩家。省略代名詞可以把當前所選中的玩家作為對象。","","",4,0
126,2,0,0,0,0,"/leave","","/退隊
/leave
退出小隊。","","",4,0
131,2,0,0,0,0,"/check","/c","/查看 代名詞
/check、/c
查看指定玩家的情報。省略代名詞可以查看當前選中的目標。","","",160,0
132,2,0,0,0,0,"/trade","","/交易 代名詞
/trade
向指定玩家申請交易。省略代名詞可以向當前選中的目標發起交易申請。","","",32,0
133,2,1,2,0,0,"/automove","","/自動前進(/前進) 子命令
/automove
向當前面對的方向自動前進。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>開(on)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　開啟自動前進。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>關(off)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　關閉自動前進。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　在開啟與關閉之間切換。","","",36,0
134,2,0,0,0,0,"/follow","","/跟隨 代名詞
/follow
自動跟隨指定玩家。省略代名詞可以跟隨當前選中的目標。","","",36,0
136,2,0,0,0,0,"/meldrequest","","/委託鑲嵌 代名詞
/meldrequest
向指定玩家發送魔晶石鑲嵌委託。省略代名詞可以向當前選中的玩家發送魔晶石鑲嵌委託。","","",32,0
141,1,0,0,0,0,"/character","/gear","/角色(/裝備)
/character、/gear
打開角色視窗。","","",32,0
142,1,0,0,0,0,"/journal","","/日誌
/journal
打開日誌。","","",32,0
143,1,0,0,0,0,"/dutyfinder","/dfinder","/任務搜尋器(/任務)
/dutyfinder、/dfinder
打開任務搜尋器。","/contentsfinder","/cfinder",800,0
144,1,0,0,0,0,"/armourychest","/armoury","/兵裝庫(/兵裝)
/armourychest、/armoury
打開兵裝庫。","","",32,0
145,1,0,0,0,0,"/huntinglog","/hlog","/討伐筆記(/討伐)
/huntinglog、/hlog
打開討伐筆記。","","",32,0
146,1,0,0,0,0,"/craftinglog","/clog","/製作筆記(/製作)
/craftinglog、/clog
打開製作筆記。","","",0,0
147,1,0,0,0,0,"/gatheringlog","/glog","/採集筆記(/採集)
/gatheringlog、/glog
打開採集筆記。","","",0,0
148,1,0,0,0,0,"/fishinglog","/flog","/釣魚筆記(/釣魚)
/fishinglog、/flog
打開釣魚筆記。","","",32,0
149,1,0,0,0,0,"/achievements","","/成就
/achievements
打開成就列表。","","",32,0
150,3,1,2,0,0,"/partycmd","/pcmd","/小隊命令(/小隊) 子命令
/partycmd、/pcmd
運行各種組隊指令。
※跨服組隊時僅會打開小隊隊員視窗以及使用「加入」指令。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>加入(add) 代名詞<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　邀請指定玩家加入小隊。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>接受(accept)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　接受小隊發來的邀請。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>拒絕(deny)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　拒絕小隊發來的邀請。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>隊長(leader) 代名詞<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　將小隊隊長轉讓給指定玩家。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>退隊(leave)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　退出已加入的小隊。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>移除(kick) 代名詞<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　將指定隊員移除出小隊。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>解散(breakup)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　解散小隊。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>無子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　打開小隊隊員視窗。","","",32,0
