key,0,1,2,3,4,5,6
80,12033724,9,4,"鳶尾紫","アイリスパープル",False,True
81,3877437,9,5,"葡萄紫","グレープパープル",False,True
82,16699125,9,6,"蓮花粉","ロータスピンク",False,True
83,14457802,9,7,"蜂鳥粉","コリブリピンク",False,True
84,7950956,9,8,"仙子梅","プラムパープル",False,True
85,6697038,9,9,"帝王紫","リーガルパープル",False,True
86,14942225,4,10,"寶石紅","ルビーレッド",False,True
87,16070555,4,11,"櫻桃粉","チェリーピンク",False,True
88,16709732,6,10,"絲雀黃","カナリーイエロー",False,True
89,16511412,6,11,"香草黃","バニライエロー",False,True
90,3746,8,18,"龍騎藍","ドラグーンブルー",False,True
91,307149,8,19,"松石藍","ターコイズブルー",False,True
92,6316136,10,21,"砲銅黑","ガンメタル",True,False
93,15328218,10,22,"珍珠白","パールホワイト",True,False
94,15192471,10,23,"金屬銅","シャインブラス",True,False
95,0,0,0,"","",False,False
96,0,0,0,"","",False,False
97,0,0,0,"","",False,False
98,0,0,0,"","",False,False
99,0,0,0,"","",False,False
100,0,0,0,"","",False,False
101,16382196,10,1,"無瑕白","ピュアホワイト",False,True
102,1973790,10,2,"煤玉黑","ジェットブラック",False,True
103,16632006,10,3,"柔彩粉","パステルピンク",False,True
104,3283225,10,4,"黑暗紅","ダークレッド",False,True
105,2629916,10,5,"黑暗棕","ダークブラウン",False,True
106,12242858,10,6,"柔彩綠","パステルグリーン",False,True
107,1387564,10,7,"黑暗綠","ダークグリーン",False,True
108,9872601,10,8,"柔彩藍","パステルブルー",False,True
109,1187629,10,9,"黑暗藍","ダークブルー",False,True
110,12301786,10,10,"柔彩紫","パステルパープル",False,True
111,2301990,10,11,"黑暗紫","ダークパープル",False,True
112,10987431,10,12,"閃耀銀","シャインシルバー",True,False
113,15590973,10,13,"閃耀金","シャインゴールド",True,False
114,11935051,10,14,"金屬紅","メタリックレッド",True,False
115,14978095,10,15,"金屬橙","メタリックオレンジ",True,False
116,16046662,10,16,"金屬黃","メタリックイエロー",True,False
117,2271063,10,17,"金屬綠","メタリックグリーン",True,False
118,6214886,10,18,"金屬藍","メタリックスカイブルー",True,False
119,5264089,10,19,"金屬靛","メタリックブルー",True,False
120,10708674,10,20,"金屬紫","メタリックパープル",True,False
