key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>使用澆水模式為種下的種子澆水<Unknown14>EC</Unknown14></Color>","使用播種模式在耕地種下選好的種子",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40
12,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向耕種小員報告<Unknown14>EC</Unknown14></Color>","使用澆水模式為種下的種子澆水",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
13,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
14,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>委託放牧小員整地<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
15,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取放牧小員的說明<Unknown14>EC</Unknown14></Color>","委託放牧小員整地",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
16,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>使用捕獸模式捕捉動物<Unknown14>EC</Unknown14></Color>","聽取放牧小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,300,-252,600
17,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取放牧小員的說明<Unknown14>EC</Unknown14></Color>","使用捕獸模式捕捉動物",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
18,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>使用餵食模式為動物餵食<Unknown14>EC</Unknown14></Color>","聽取放牧小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-292,148,40
19,"開拓目標：在牧場餵食動物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向放牧小員報告<Unknown14>EC</Unknown14></Color>","使用餵食模式為動物餵食",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
20,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
21,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>委託開拓小員1號整地<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
22,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取開拓小員1號的說明<Unknown14>EC</Unknown14></Color>","委託開拓小員1號整地",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
23,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>收集開拓素材
在開拓製作面板中製作開拓無人島用石錘<Unknown14>EC</Unknown14></Color>","聽取開拓小員1號的說明",3,3,4,9,2,10,11,4,12,255,0,0,255,0,0,0,0,0,0
24,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>收集開拓素材建造開拓工房<Unknown14>EC</Unknown14></Color>","收集開拓素材 在開拓製作面板中製作開拓無人島用石錘",9,10,10,0,10,1,14,10,15,11,5,12,8,5,9,0,0,0,0
25,"開拓目標：建設開拓工房做好貿易的準備","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向開拓小員1號報告<Unknown14>EC</Unknown14></Color>","收集開拓素材建造開拓工房",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
26,"開拓目標：自由開拓無人島","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
27,"開拓目標：自由開拓無人島","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>按照自己的想法開拓小島<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
28,"開拓目標：尋找更高的目標","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
29,"開拓目標：尋找更高的目標","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>按照自己的想法磨鍊開拓的本領<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
30,"開拓目標：調查島上的傳聞","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
31,"開拓目標：調查島上的傳聞","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>調查山<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,420,-145,40
32,"開拓目標：調查島上的傳聞","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向貓耳小員報告<Unknown14>EC</Unknown14></Color>","調查山",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
33,"開拓目標：調查島上的傳聞","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取探險小員的說明<Unknown14>EC</Unknown14></Color>","向貓耳小員報告",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
34,"開拓目標：調查島上的傳聞","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>在開拓製作面板中製作開拓無人島用碎岩裝備
向貓耳小員報告<Unknown14>EC</Unknown14></Color>","聽取探險小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
35,"開拓目標：按照自己的想法令無人島更加充實吧","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
36,"開拓目標：按照自己的想法令無人島更加充實吧","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>按照自己的想法令無人島更加充實吧<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
37,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
